yr_built,yr_renovated,house_age,age_after_renovtion,room_bed,room_bath,living_measure,lot_measure,ceil,coast,sight,condition,quality,ceil_measure,basement,zipcode,lat,long,living_measure15,lot_measure15,furnished,total_area,price,Premium_House
1956,0,58,0,4,3.25,3020,13457,1,0,0,5,9,3020,0,98133,47.7174,-122.336,2120,7553,1,16477,808100,0
1976,0,38,0,4,2.5,2550,7500,1,0,0,3,8,1750,800,98023,47.3165,-122.386,2260,8800,0,10050,277500,0
2006,0,9,0,3,2.5,2370,4324,2,0,0,3,8,2370,0,98038,47.3515,-121.999,2370,4348,0,6694,404000,0
1916,0,98,0,2,1,820,3844,1,0,0,4,6,820,0,98133,47.7049,-122.349,1520,3844,0,4664,300000,0
1954,0,61,0,2,1.5,1400,4050,1,0,0,4,8,1400,0,98115,47.6768,-122.269,1900,5940,0,5450,699000,0
1989,0,25,0,3,2.5,2050,11690,2,0,0,4,9,2050,0,98059,47.5279,-122.161,2410,10172,1,13740,585000,0
1954,0,60,0,3,1.75,1480,6360,1,0,0,3,7,1480,0,98133,47.7311,-122.353,1480,6360,0,7840,465000,0
1949,0,65,0,3,1.5,2100,67269,1,0,0,4,7,1220,880,98028,47.7592,-122.23,1610,15999,0,69369,480000,0
1953,0,61,0,4,2,2600,4800,1,0,2,3,8,1400,1200,98119,47.637,-122.371,2050,3505,0,7400,780000,0
1969,0,45,0,4,1,1130,7400,1,0,0,4,7,1130,0,98003,47.3437,-122.316,1540,7379,0,8530,215000,0
1905,0,109,0,2,1,710,5100,1,0,0,5,7,710,0,98117,47.6765,-122.381,1530,5100,0,5810,402000,0
1998,0,16,0,4,2.5,2350,6958,2,0,0,3,9,2350,0,98092,47.3321,-122.172,2480,6395,1,9308,299000,0
1994,0,21,0,4,2.5,3440,56192,2,0,0,3,9,3440,0,98053,47.6969,-122.046,3150,44431,1,59632,785000,0
1901,1987,114,28,4,2,2750,5527,2,0,0,3,8,2130,620,98119,47.6513,-122.368,1290,1764,0,8277,865000,0
1958,0,56,0,5,2.5,3440,12900,1,0,2,4,8,1720,1720,98166,47.4426,-122.342,2100,10751,0,16340,554000,0
1975,0,40,0,3,1.5,1200,7236,1,0,0,3,7,1200,0,98011,47.739,-122.194,1680,7800,0,8436,361000,0
2000,0,14,0,4,2.75,2790,6600,2,0,0,3,9,2790,0,98058,47.4362,-122.109,2900,6752,1,9390,459000,0
1947,0,67,0,3,1,1480,5600,1,0,0,4,6,940,540,98178,47.5045,-122.27,1350,11100,0,7080,200000,0
1926,0,88,0,2,1,1100,3598,1,0,0,4,7,1100,0,98144,47.5738,-122.313,1240,3598,0,4698,403000,0
1990,0,24,0,3,2.25,2310,7200,2,0,0,3,8,2310,0,98031,47.4051,-122.193,1960,7201,0,9510,327500,0
1950,1982,64,32,5,2.75,3100,9825,2,0,2,4,8,3100,0,98125,47.7188,-122.281,2120,8400,0,12925,700000,0
2014,0,0,0,3,2.5,2160,8809,1,0,0,3,9,1540,620,98103,47.6994,-122.349,930,5420,1,10969,730000,0
1990,0,24,0,2,1.5,1068,1158,2,0,0,3,7,1068,0,98028,47.753,-122.244,1078,1278,0,2226,207000,0
1952,0,63,0,3,1,1120,8549,1,0,0,3,7,1120,0,98004,47.6294,-122.205,1440,8640,0,9669,750000,0
1900,0,114,0,2,2,1510,4000,1,0,0,4,7,1010,500,98103,47.6582,-122.345,1920,4000,0,5510,595000,0
1986,0,28,0,4,3,2090,7500,1,0,0,3,7,1370,720,98056,47.4888,-122.182,1810,7650,0,9590,338000,0
2014,0,0,0,3,2,1560,1156,3,0,0,3,8,1560,0,98122,47.605,-122.304,1560,1728,0,2716,500000,0
1928,0,87,0,4,2.5,2370,4000,1.5,0,2,5,8,1980,390,98144,47.601,-122.294,2440,5750,0,6370,834000,0
1967,0,47,0,3,2.75,3940,9671,1,0,4,5,9,2140,1800,98006,47.5654,-122.158,3390,9360,1,13611,1450000,1
1978,0,36,0,4,1.75,2410,8400,1,0,0,3,7,1600,810,98011,47.7341,-122.2,1850,8400,0,10810,432000,0
2006,0,8,0,4,4,3770,8899,2,0,0,3,10,2940,830,98074,47.6476,-122.079,3300,8308,1,12669,1100000,0
1956,0,59,0,3,1.5,1590,7936,1,0,0,3,7,1590,0,98106,47.5201,-122.366,1590,7936,0,9526,325000,0
1969,0,46,0,3,1.75,1520,7700,1,0,0,3,7,820,700,98034,47.7226,-122.219,1420,7674,0,9220,460000,0
2004,0,10,0,5,4.5,6070,14731,2,0,0,3,11,6070,0,98059,47.5306,-122.134,4750,13404,1,20801,1570000,1
2014,0,0,0,4,2.5,2891,6499,2,0,0,3,9,2891,0,98001,47.3359,-122.257,2550,8383,1,9390,415000,0
1900,2014,115,1,4,2.25,2240,5000,2,0,0,3,8,1770,470,98122,47.6027,-122.295,2120,5000,0,7240,905000,0
2002,0,12,0,3,2.5,3100,23790,2,0,0,3,9,3100,0,98075,47.5882,-122.011,2250,40854,1,26890,759950,0
1944,0,71,0,2,2,1270,5000,1,0,0,3,6,1270,0,98107,47.6729,-122.363,2190,5000,0,6270,600000,0
2014,0,0,0,4,2.5,1710,3500,2,0,0,3,7,1710,0,98002,47.3448,-122.217,1710,3500,0,5210,282900,0
1942,0,72,0,3,2,1200,5700,1,0,0,5,7,1200,0,98178,47.5031,-122.242,1190,6384,0,6900,272000,0
1981,0,33,0,3,1,1140,27760,1,0,0,4,6,1140,0,98027,47.5372,-121.972,1690,87300,0,28900,243800,0
2009,0,6,0,3,3.25,1560,1345,2,0,0,3,8,1260,300,98126,47.5637,-122.375,1560,4800,0,2905,448000,0
1966,0,48,0,4,2.75,2300,3175,1.5,0,0,3,6,1340,960,98144,47.5732,-122.305,1260,3175,0,5475,350000,0
2014,0,1,0,3,2.5,1720,6200,2,0,0,3,7,1720,0,98022,47.2137,-121.989,1710,9520,0,7920,255000,0
1999,0,15,0,5,2.75,3220,8160,2,0,0,3,9,3220,0,98001,47.3154,-122.254,2876,11521,1,11380,384000,0
1950,0,64,0,2,1,1150,30184,1,0,0,3,6,1150,0,98055,47.4492,-122.2,1670,19684,0,31334,129000,0
1966,0,49,0,4,2.75,3550,13938,1,0,0,5,8,2100,1450,98188,47.425,-122.283,2050,9000,0,17488,469000,0
1978,0,36,0,2,1,770,17334,1,0,0,3,7,770,0,98001,47.2997,-122.269,1480,17334,0,18104,100000,0
1954,0,60,0,3,1.5,1290,7100,1,0,0,3,6,1290,0,98198,47.4227,-122.332,1300,7183,0,8390,265000,0
2010,0,4,0,3,2.5,2620,4558,2,0,3,3,7,2620,0,98022,47.1944,-121.974,1670,4558,0,7178,277500,0
1951,0,63,0,4,2.75,3520,19200,1,1,4,4,9,1950,1570,98136,47.525,-122.393,2450,7000,1,22720,1660000,1
1993,0,21,0,4,2.5,3370,35150,1,0,0,5,8,1770,1600,98027,47.461,-122.002,2920,41241,0,38520,592500,0
1924,1971,90,43,4,2.5,1620,5280,2,0,0,4,7,1620,0,98146,47.5132,-122.384,1590,5280,0,6900,385000,0
1947,2011,67,3,4,2.5,1600,6765,1,0,0,3,7,830,770,98106,47.5469,-122.365,1600,8942,0,8365,329000,0
1939,0,76,0,3,2,1590,5200,1,0,0,3,7,1320,270,98103,47.6864,-122.341,1620,5150,0,6790,720000,0
1960,0,54,0,3,1.75,1760,8400,1,0,0,4,8,1460,300,98136,47.5355,-122.39,1980,8400,0,10160,680000,0
1993,0,21,0,4,2.5,1790,4358,2,0,0,3,7,1790,0,98031,47.3994,-122.204,1790,4305,0,6148,260000,0
1979,0,35,0,4,2.25,2370,9360,2,0,0,4,8,2370,0,98052,47.6518,-122.123,2370,9720,0,11730,684680,0
1983,0,31,0,3,2,2350,266151,1.5,0,0,3,7,2350,0,98014,47.6609,-121.892,2270,222156,0,268501,510000,0
1920,0,94,0,2,1,1140,5650,1,0,1,3,6,980,160,98116,47.5634,-122.391,1220,5700,0,6790,374000,0
1939,0,75,0,2,1,780,6727,1,0,0,3,6,780,0,98168,47.4733,-122.281,1860,10124,0,7507,221900,0
1977,1999,38,16,3,4.5,3970,24920,2,0,2,3,10,3260,710,98034,47.7183,-122.258,2610,13838,1,28890,1450000,1
1955,0,60,0,4,2,2780,11583,1,0,3,3,8,1190,1590,98125,47.7293,-122.284,2580,10241,0,14363,645000,0
2014,0,0,0,3,1.75,1500,11968,1,0,0,3,6,1500,0,98010,47.3095,-122.002,1320,11303,0,13468,224000,0
1984,0,31,0,4,2.5,2370,9679,2,0,0,3,8,2370,0,98027,47.5631,-122.085,2290,7944,0,12049,675000,0
2003,0,12,0,3,2.5,1890,6560,2,0,0,3,7,1890,0,98038,47.3684,-122.031,2390,7570,0,8450,323000,0
1977,0,38,0,4,2.75,1910,11356,1,0,0,5,7,1160,750,98033,47.6999,-122.2,1770,11357,0,13266,630100,0
1980,0,34,0,4,2.25,2590,8190,2,0,0,4,8,2590,0,98006,47.5619,-122.125,2260,8335,0,10780,673000,0
1977,0,38,0,3,1.75,1640,10123,1,0,0,3,8,1340,300,98011,47.7698,-122.167,2210,10852,0,11763,471000,0
1959,0,55,0,3,1.5,2080,5244,1,0,0,3,7,1190,890,98125,47.7144,-122.293,1850,6982,0,7324,399950,0
2004,0,10,0,4,2.5,2320,4524,2,0,0,3,8,2320,0,98059,47.4798,-122.136,2330,4524,0,6844,429950,0
1920,0,94,0,2,1,1230,2726,1.5,0,0,3,7,880,350,98117,47.6815,-122.359,1710,3750,0,3956,575000,0
1992,0,22,0,3,2.5,2320,32772,2,0,0,3,9,2320,0,98053,47.6304,-121.988,2610,33305,1,35092,630000,0
1974,0,40,0,3,2.25,2260,33080,1,0,0,5,9,1690,570,98005,47.6386,-122.183,3020,35291,1,35340,778000,0
1947,0,67,0,4,2.75,2740,6200,1.5,0,3,4,8,1820,920,98125,47.7084,-122.277,2430,6000,0,8940,775000,0
2009,0,6,0,4,2.5,2420,4981,2,0,0,3,9,2420,0,98038,47.3785,-122.023,2420,5000,1,7401,380000,0
1951,0,64,0,2,1,900,4500,1,0,0,3,6,900,0,98055,47.4881,-122.204,860,4500,0,5400,249500,0
2003,0,11,0,4,3,3000,10297,2,0,0,3,8,3000,0,98042,47.3684,-122.073,2520,8366,0,13297,398950,0
1998,0,16,0,3,3,2330,10327,1,0,0,3,9,2330,0,98034,47.7239,-122.164,2200,4629,1,12657,612000,0
2005,0,9,0,4,2.25,2190,3746,2,0,0,3,8,2190,0,98038,47.3896,-122.034,2200,3591,0,5936,294000,0
1936,0,79,0,3,2,1760,7147,1,0,0,4,6,880,880,98055,47.4799,-122.232,1720,7147,0,8907,287500,0
2014,0,1,0,4,2.5,3181,5831,2,0,0,3,8,3181,0,98003,47.2716,-122.297,2056,24393,0,9012,379900,0
1961,0,53,0,5,2.25,3030,9430,2,0,0,4,8,2600,430,98133,47.7515,-122.353,2230,8425,0,12460,529900,0
1967,0,47,0,3,1.75,1010,7171,1,0,0,4,7,1010,0,98034,47.7317,-122.231,1250,7560,0,8181,325000,0
1979,0,35,0,3,2.5,2960,18600,2,0,0,3,8,2960,0,98166,47.4358,-122.344,2740,15681,0,21560,605000,0
1975,0,39,0,3,1.75,1280,10016,1,0,0,4,7,1280,0,98003,47.2823,-122.333,1670,9764,0,11296,215000,0
2007,0,8,0,3,2.5,1350,1189,2,0,0,3,7,1080,270,98106,47.5218,-122.358,1300,1182,0,2539,270000,0
1994,0,20,0,3,2.5,1870,9825,1,0,0,4,7,1250,620,98045,47.4639,-121.744,1380,11475,0,11695,325000,0
1998,0,16,0,4,2.5,3240,22795,2,0,0,3,8,3240,0,98053,47.6329,-121.969,2570,29761,0,26035,574000,0
1946,0,68,0,2,1,900,9260,1,0,0,3,7,900,0,98107,47.6695,-122.36,1230,6913,0,10160,496000,0
1957,0,58,0,3,1.75,1550,10050,1,0,0,5,7,1550,0,98008,47.6345,-122.123,1720,10050,0,11600,537000,0
1913,0,102,0,5,3,3030,4120,1.5,0,0,4,7,1930,1100,98115,47.6771,-122.319,1280,3090,0,7150,794500,0
1926,0,88,0,4,1.75,2000,4000,1.5,0,0,5,7,1450,550,98126,47.5659,-122.375,1430,4000,0,6000,536500,0
1959,0,55,0,5,1.5,2170,8610,1,0,0,4,7,1230,940,98008,47.6111,-122.126,1670,8610,0,10780,497500,0
1998,0,17,0,4,2.5,2500,10215,2,0,0,3,9,2500,0,98075,47.5912,-121.986,2890,10240,1,12715,635000,0
1970,0,44,0,3,1,1970,22144,1,0,0,4,7,1970,0,98065,47.5234,-121.841,1970,13500,0,24114,454000,0
