cid,dayhours,price,living_measure,lot_measure,coast,sight,ceil_measure,yr_built,zipcode,lat,long,furnished
3034200666,20141107T000000,808100,3020,13457,0,0,3020,1956,98133,47.7174,-122.336,1
8731981640,20141204T000000,277500,2550,7500,0,0,1750,1976,98023,47.3165,-122.386,0
5104530220,20150420T000000,404000,2370,4324,0,0,2370,2006,98038,47.3515,-121.999,0
6145600285,20140529T000000,300000,820,3844,0,0,820,1916,98133,47.7049,-122.349,0
8924100111,20150424T000000,699000,1400,4050,0,0,1400,1954,98115,47.6768,-122.269,0
5525400430,20140715T000000,585000,2050,11690,0,0,2050,1989,98059,47.5279,-122.161,1
2419600075,20141201T000000,465000,1480,6360,0,0,1480,1954,98133,47.7311,-122.353,0
114101161,20140829T000000,480000,2100,67269,0,0,1220,1949,98028,47.7592,-122.23,0
7011201550,20140707T000000,780000,2600,4800,0,2,1400,1953,98119,47.637,-122.371,0
7203000640,20140918T000000,215000,1130,7400,0,0,1130,1969,98003,47.3437,-122.316,0
7518503685,20141009T000000,402000,710,5100,0,0,710,1905,98117,47.6765,-122.381,0
7300400150,20141027T000000,299000,2350,6958,0,0,2350,1998,98092,47.3321,-122.172,1
2215800050,20150415T000000,785000,3440,56192,0,0,3440,1994,98053,47.6969,-122.046,1
7443000480,20150507T000000,865000,2750,5527,0,0,2130,1901,98119,47.6513,-122.368,0
5072100095,20141117T000000,554000,3440,12900,0,2,1720,1958,98166,47.4426,-122.342,0
1387301730,20150202T000000,361000,1200,7236,0,0,1200,1975,98011,47.739,-122.194,0
1310430130,20141009T000000,459000,2790,6600,0,0,2790,2000,98058,47.4362,-122.109,1
3352400351,20141121T000000,200000,1480,5600,0,0,940,1947,98178,47.5045,-122.27,0
3678900110,20140610T000000,403000,1100,3598,0,0,1100,1926,98144,47.5738,-122.313,0
2474400250,20140630T000000,327500,2310,7200,0,0,2310,1990,98031,47.4051,-122.193,0
8820900029,20140610T000000,700000,3100,9825,0,2,3100,1950,98125,47.7188,-122.281,0
263000050,20141031T000000,730000,2160,8809,0,0,1540,2014,98103,47.6994,-122.349,1
9406500350,20141229T000000,207000,1068,1158,0,0,1068,1990,98028,47.753,-122.244,0
9533100145,20150205T000000,750000,1120,8549,0,0,1120,1952,98004,47.6294,-122.205,0
5694500105,20141204T000000,595000,1510,4000,0,0,1010,1900,98103,47.6582,-122.345,0
3291800710,20141120T000000,338000,2090,7500,0,0,1370,1986,98056,47.4888,-122.182,0
9126100815,20141217T000000,500000,1560,1156,0,0,1560,2014,98122,47.605,-122.304,0
3416600800,20150209T000000,834000,2370,4000,0,2,1980,1928,98144,47.601,-122.294,0
7855000460,20141007T000000,1450000,3940,9671,0,4,2140,1967,98006,47.5654,-122.158,1
6204410330,20141020T000000,432000,2410,8400,0,0,1600,1978,98011,47.7341,-122.2,0
9206500250,20140909T000000,1100000,3770,8899,0,0,2940,2006,98074,47.6476,-122.079,1
